时间(s),温度(摄氏度)
0,25
0.5,25
1,25
1.5,25
2,25
2.5,25
3,25
3.5,25
4,25
4.5,25
5,25
5.5,25
6,25
6.5,25
7,25
7.5,25
8,25
8.5,25
9,25
9.5,25
10,25
10.5,25
11,25
11.5,25
12,25
12.5,25
13,25
13.5,25.11
14,25.36
14.5,25.75
15,26.26
15.5,26.9
16,27.67
16.5,28.57
17,29.6
17.5,30.75
18,32.02
18.5,33.41
19,34.92
19.5,36.48
20,38.03
20.5,39.55
21,41.06
21.5,42.55
22,44.02
22.5,45.48
23,46.92
23.5,48.35
24,49.75
24.5,51.15
25,52.52
25.5,53.89
26,55.23
26.5,56.56
27,57.88
27.5,59.18
28,60.46
28.5,61.74
29,62.99
29.5,64.24
30,65.47
30.5,66.68
31,67.88
31.5,69.07
32,70.24
32.5,71.41
33,72.55
33.5,73.69
34,74.81
34.5,75.92
35,77.02
35.5,78.1
36,79.17
36.5,80.23
37,81.28
37.5,82.32
38,83.34
38.5,84.36
39,85.36
39.5,86.35
40,87.33
40.5,88.29
41,89.25
41.5,90.2
42,91.13
42.5,92.06
43,92.97
43.5,93.88
44,94.77
44.5,95.66
45,96.53
45.5,97.39
46,98.25
46.5,99.09
47,99.93
47.5,100.75
48,101.57
48.5,102.38
49,103.17
49.5,103.96
50,104.74
50.5,105.52
51,106.28
51.5,107.03
52,107.78
52.5,108.51
53,109.24
53.5,109.96
54,110.68
54.5,111.38
55,112.08
55.5,112.76
56,113.44
56.5,114.12
57,114.78
57.5,115.44
58,116.09
58.5,116.73
59,117.37
59.5,118
60,118.62
60.5,119.23
61,119.84
61.5,120.44
62,121.04
62.5,121.62
63,122.2
63.5,122.78
64,123.35
64.5,123.91
65,124.46
65.5,125.01
66,125.55
66.5,126.09
67,126.62
67.5,127.14
68,127.66
68.5,128.17
69,128.68
69.5,129.18
70,129.68
70.5,130.16
71,130.65
71.5,131.13
72,131.6
72.5,132.07
73,132.53
73.5,132.99
74,133.44
74.5,133.89
75,134.33
75.5,134.77
76,135.2
76.5,135.63
77,136.05
77.5,136.47
78,136.88
78.5,137.29
79,137.69
79.5,138.09
80,138.48
80.5,138.87
81,139.26
81.5,139.64
82,140.02
82.5,140.39
83,140.76
83.5,141.12
84,141.48
84.5,141.84
85,142.19
85.5,142.54
86,142.88
86.5,143.22
87,143.56
87.5,143.89
88,144.22
88.5,144.55
89,144.87
89.5,145.19
90,145.5
90.5,145.81
91,146.12
91.5,146.42
92,146.72
92.5,147.02
93,147.31
93.5,147.6
94,147.89
94.5,148.17
95,148.45
95.5,148.73
96,149.01
96.5,149.28
97,149.54
97.5,149.81
98,150.07
98.5,150.33
99,150.59
99.5,150.84
100,151.09
100.5,151.34
101,151.58
101.5,151.83
102,152.06
102.5,152.3
103,152.53
103.5,152.77
104,152.99
104.5,153.22
105,153.44
105.5,153.67
106,153.88
106.5,154.1
107,154.31
107.5,154.52
108,154.73
108.5,154.94
109,155.14
109.5,155.35
110,155.54
110.5,155.74
111,155.94
111.5,156.13
112,156.32
112.5,156.51
113,156.7
113.5,156.88
114,157.06
114.5,157.24
115,157.42
115.5,157.6
116,157.77
116.5,157.94
117,158.11
117.5,158.28
118,158.45
118.5,158.61
119,158.77
119.5,158.93
120,159.09
120.5,159.25
121,159.41
121.5,159.56
122,159.71
122.5,159.86
123,160.01
123.5,160.16
124,160.3
124.5,160.45
125,160.59
125.5,160.73
126,160.87
126.5,161
127,161.14
127.5,161.27
128,161.41
128.5,161.54
129,161.67
129.5,161.79
130,161.92
130.5,162.05
131,162.17
131.5,162.29
132,162.41
132.5,162.53
133,162.65
133.5,162.77
134,162.88
134.5,163
135,163.11
135.5,163.22
136,163.33
136.5,163.44
137,163.55
137.5,163.66
138,163.76
138.5,163.87
139,163.97
139.5,164.07
140,164.17
140.5,164.27
141,164.37
141.5,164.47
142,164.57
142.5,164.66
143,164.75
143.5,164.85
144,164.94
144.5,165.03
145,165.12
145.5,165.21
146,165.3
146.5,165.39
