501
t0001, p0001u, p0002u, p0001d, p0002d
t0002, p0003u, p0004u, p0003d, p0004d
t0003, p0005u, p0006u, p0005d, p0006d
t0004, p0007u, p0008u, p0007d, p0008d
t0005, p0009u, p0010u, p0009d, p0010d
t0006, p0011u, p0012u, p0011d, p0012d
t0007, p0013u, p0014u, p0013d, p0014d
t0008, p0015u, p0016u, p0015d, p0016d
t0009, p0017u, p0018u, p0017d, p0018d
t0010, p0019u, p0020u, p0019d, p0020d
t0011, p0021u, p0022u, p0021d, p0022d
t0012, p0023u, p0024u, p0023d, p0024d
t0013, p0025u, p0026u, p0025d, p0026d
t0014, p0027u, p0028u, p0027d, p0028d
t0015, p0029u, p0030u, p0029d, p0030d
t0016, p0031u, p0032u, p0031d, p0032d
t0017, p0033u, p0034u, p0033d, p0034d
t0018, p0035u, p0036u, p0035d, p0036d
t0019, p0037u, p0038u, p0037d, p0038d
t0020, p0039u, p0040u, p0039d, p0040d
t0021, p0041u, p0042u, p0041d, p0042d
t0022, p0043u, p0044u, p0043d, p0044d
t0023, p0045u, p0046u, p0045d, p0046d
t0024, p0047u, p0048u, p0047d, p0048d
t0025, p0049u, p0050u, p0049d, p0050d
t0026, p0051u, p0052u, p0051d, p0052d
t0027, p0053u, p0054u, p0053d, p0054d
t0028, p0055u, p0056u, p0055d, p0056d
t0029, p0057u, p0058u, p0057d, p0058d
t0030, p0059u, p0060u, p0059d, p0060d
t0031, p0061u, p0062u, p0061d, p0062d
t0032, p0063u, p0064u, p0063d, p0064d
t0033, p0065u, p0066u, p0065d, p0066d
t0034, p0067u, p0068u, p0067d, p0068d
t0035, p0069u, p0070u, p0069d, p0070d
t0036, p0071u, p0072u, p0071d, p0072d
t0037, p0073u, p0074u, p0073d, p0074d
t0038, p0075u, p0076u, p0075d, p0076d
t0039, p0077u, p0078u, p0077d, p0078d
t0040, p0079u, p0080u, p0079d, p0080d
t0041, p0081u, p0082u, p0081d, p0082d
t0042, p0083u, p0084u, p0083d, p0084d
t0043, p0085u, p0086u, p0085d, p0086d
t0044, p0087u, p0088u, p0087d, p0088d
t0045, p0089u, p0090u, p0089d, p0090d
t0046, p0091u, p0092u, p0091d, p0092d
t0047, p0093u, p0094u, p0093d, p0094d
t0048, p0095u, p0096u, p0095d, p0096d
t0049, p0097u, p0098u, p0097d, p0098d
t0050, p0099u, p0100u, p0099d, p0100d
t0051, p0101u, p0102u, p0101d, p0102d
t0052, p0103u, p0104u, p0103d, p0104d
t0053, p0105u, p0106u, p0105d, p0106d
t0054, p0107u, p0108u, p0107d, p0108d
t0055, p0109u, p0110u, p0109d, p0110d
t0056, p0111u, p0112u, p0111d, p0112d
t0057, p0113u, p0114u, p0113d, p0114d
t0058, p0115u, p0116u, p0115d, p0116d
t0059, p0117u, p0118u, p0117d, p0118d
t0060, p0119u, p0120u, p0119d, p0120d
t0061, p0121u, p0122u, p0121d, p0122d
t0062, p0123u, p0124u, p0123d, p0124d
t0063, p0125u, p0126u, p0125d, p0126d
t0064, p0127u, p0128u, p0127d, p0128d
t0065, p0129u, p0130u, p0129d, p0130d
t0066, p0131u, p0132u, p0131d, p0132d
t0067, p0133u, p0134u, p0133d, p0134d
t0068, p0135u, p0136u, p0135d, p0136d
t0069, p0137u, p0138u, p0137d, p0138d
t0070, p0139u, p0140u, p0139d, p0140d
t0071, p0141u, p0142u, p0141d, p0142d
t0072, p0143u, p0144u, p0143d, p0144d
t0073, p0145u, p0146u, p0145d, p0146d
t0074, p0147u, p0148u, p0147d, p0148d
t0075, p0149u, p0150u, p0149d, p0150d
t0076, p0151u, p0152u, p0151d, p0152d
t0077, p0153u, p0154u, p0153d, p0154d
t0078, p0155u, p0156u, p0155d, p0156d
t0079, p0157u, p0158u, p0157d, p0158d
t0080, p0159u, p0160u, p0159d, p0160d
t0081, p0161u, p0162u, p0161d, p0162d
t0082, p0163u, p0164u, p0163d, p0164d
t0083, p0165u, p0166u, p0165d, p0166d
t0084, p0167u, p0168u, p0167d, p0168d
t0085, p0169u, p0170u, p0169d, p0170d
t0086, p0171u, p0172u, p0171d, p0172d
t0087, p0173u, p0174u, p0173d, p0174d
t0088, p0175u, p0176u, p0175d, p0176d
t0089, p0177u, p0178u, p0177d, p0178d
t0090, p0179u, p0180u, p0179d, p0180d
t0091, p0181u, p0182u, p0181d, p0182d
t0092, p0183u, p0184u, p0183d, p0184d
t0093, p0185u, p0186u, p0185d, p0186d
t0094, p0187u, p0188u, p0187d, p0188d
t0095, p0189u, p0190u, p0189d, p0190d
t0096, p0191u, p0192u, p0191d, p0192d
t0097, p0193u, p0194u, p0193d, p0194d
t0098, p0195u, p0196u, p0195d, p0196d
t0099, p0197u, p0198u, p0197d, p0198d
t0100, p0199u, p0200u, p0199d, p0200d
t0101, p0201u, p0202u, p0201d, p0202d
t0102, p0203u, p0204u, p0203d, p0204d
t0103, p0205u, p0206u, p0205d, p0206d
t0104, p0207u, p0208u, p0207d, p0208d
t0105, p0209u, p0210u, p0209d, p0210d
t0106, p0211u, p0212u, p0211d, p0212d
t0107, p0213u, p0214u, p0213d, p0214d
t0108, p0215u, p0216u, p0215d, p0216d
t0109, p0217u, p0218u, p0217d, p0218d
t0110, p0219u, p0220u, p0219d, p0220d
t0111, p0221u, p0222u, p0221d, p0222d
t0112, p0223u, p0224u, p0223d, p0224d
t0113, p0225u, p0226u, p0225d, p0226d
t0114, p0227u, p0228u, p0227d, p0228d
t0115, p0229u, p0230u, p0229d, p0230d
t0116, p0231u, p0232u, p0231d, p0232d
t0117, p0233u, p0234u, p0233d, p0234d
t0118, p0235u, p0236u, p0235d, p0236d
t0119, p0237u, p0238u, p0237d, p0238d
t0120, p0239u, p0240u, p0239d, p0240d
t0121, p0241u, p0242u, p0241d, p0242d
t0122, p0243u, p0244u, p0243d, p0244d
t0123, p0245u, p0246u, p0245d, p0246d
t0124, p0247u, p0248u, p0247d, p0248d
t0125, p0249u, p0250u, p0249d, p0250d
t0126, p0251u, p0252u, p0251d, p0252d
t0127, p0253u, p0254u, p0253d, p0254d
t0128, p0255u, p0256u, p0255d, p0256d
t0129, p0257u, p0258u, p0257d, p0258d
t0130, p0259u, p0260u, p0259d, p0260d
t0131, p0261u, p0262u, p0261d, p0262d
t0132, p0263u, p0264u, p0263d, p0264d
t0133, p0265u, p0266u, p0265d, p0266d
t0134, p0267u, p0268u, p0267d, p0268d
t0135, p0269u, p0270u, p0269d, p0270d
t0136, p0271u, p0272u, p0271d, p0272d
t0137, p0273u, p0274u, p0273d, p0274d
t0138, p0275u, p0276u, p0275d, p0276d
t0139, p0277u, p0278u, p0277d, p0278d
t0140, p0279u, p0280u, p0279d, p0280d
t0141, p0281u, p0282u, p0281d, p0282d
t0142, p0283u, p0284u, p0283d, p0284d
t0143, p0285u, p0286u, p0285d, p0286d
t0144, p0287u, p0288u, p0287d, p0288d
t0145, p0289u, p0290u, p0289d, p0290d
t0146, p0291u, p0292u, p0291d, p0292d
t0147, p0293u, p0294u, p0293d, p0294d
t0148, p0295u, p0296u, p0295d, p0296d
t0149, p0297u, p0298u, p0297d, p0298d
t0150, p0299u, p0300u, p0299d, p0300d
t0151, p0301u, p0302u, p0301d, p0302d
t0152, p0303u, p0304u, p0303d, p0304d
t0153, p0305u, p0306u, p0305d, p0306d
t0154, p0307u, p0308u, p0307d, p0308d
t0155, p0309u, p0310u, p0309d, p0310d
t0156, p0311u, p0312u, p0311d, p0312d
t0157, p0313u, p0314u, p0313d, p0314d
t0158, p0315u, p0316u, p0315d, p0316d
t0159, p0317u, p0318u, p0317d, p0318d
t0160, p0319u, p0320u, p0319d, p0320d
t0161, p0321u, p0322u, p0321d, p0322d
t0162, p0323u, p0324u, p0323d, p0324d
t0163, p0325u, p0326u, p0325d, p0326d
t0164, p0327u, p0328u, p0327d, p0328d
t0165, p0329u, p0330u, p0329d, p0330d
t0166, p0331u, p0332u, p0331d, p0332d
t0167, p0333u, p0334u, p0333d, p0334d
t0168, p0335u, p0336u, p0335d, p0336d
t0169, p0337u, p0338u, p0337d, p0338d
t0170, p0339u, p0340u, p0339d, p0340d
t0171, p0341u, p0342u, p0341d, p0342d
t0172, p0343u, p0344u, p0343d, p0344d
t0173, p0345u, p0346u, p0345d, p0346d
t0174, p0347u, p0348u, p0347d, p0348d
t0175, p0349u, p0350u, p0349d, p0350d
t0176, p0351u, p0352u, p0351d, p0352d
t0177, p0353u, p0354u, p0353d, p0354d
t0178, p0355u, p0356u, p0355d, p0356d
t0179, p0357u, p0358u, p0357d, p0358d
t0180, p0359u, p0360u, p0359d, p0360d
t0181, p0361u, p0362u, p0361d, p0362d
t0182, p0363u, p0364u, p0363d, p0364d
t0183, p0365u, p0366u, p0365d, p0366d
t0184, p0367u, p0368u, p0367d, p0368d
t0185, p0369u, p0370u, p0369d, p0370d
t0186, p0371u, p0372u, p0371d, p0372d
t0187, p0373u, p0374u, p0373d, p0374d
t0188, p0375u, p0376u, p0375d, p0376d
t0189, p0377u, p0378u, p0377d, p0378d
t0190, p0379u, p0380u, p0379d, p0380d
t0191, p0381u, p0382u, p0381d, p0382d
t0192, p0383u, p0384u, p0383d, p0384d
t0193, p0385u, p0386u, p0385d, p0386d
t0194, p0387u, p0388u, p0387d, p0388d
t0195, p0389u, p0390u, p0389d, p0390d
t0196, p0391u, p0392u, p0391d, p0392d
t0197, p0393u, p0394u, p0393d, p0394d
t0198, p0395u, p0396u, p0395d, p0396d
t0199, p0397u, p0398u, p0397d, p0398d
t0200, p0399u, p0400u, p0399d, p0400d
t0201, p0401u, p0402u, p0401d, p0402d
t0202, p0403u, p0404u, p0403d, p0404d
t0203, p0405u, p0406u, p0405d, p0406d
t0204, p0407u, p0408u, p0407d, p0408d
t0205, p0409u, p0410u, p0409d, p0410d
t0206, p0411u, p0412u, p0411d, p0412d
t0207, p0413u, p0414u, p0413d, p0414d
t0208, p0415u, p0416u, p0415d, p0416d
t0209, p0417u, p0418u, p0417d, p0418d
t0210, p0419u, p0420u, p0419d, p0420d
t0211, p0421u, p0422u, p0421d, p0422d
t0212, p0423u, p0424u, p0423d, p0424d
t0213, p0425u, p0426u, p0425d, p0426d
t0214, p0427u, p0428u, p0427d, p0428d
t0215, p0429u, p0430u, p0429d, p0430d
t0216, p0431u, p0432u, p0431d, p0432d
t0217, p0433u, p0434u, p0433d, p0434d
t0218, p0435u, p0436u, p0435d, p0436d
t0219, p0437u, p0438u, p0437d, p0438d
t0220, p0439u, p0440u, p0439d, p0440d
t0221, p0441u, p0442u, p0441d, p0442d
t0222, p0443u, p0444u, p0443d, p0444d
t0223, p0445u, p0446u, p0445d, p0446d
t0224, p0447u, p0448u, p0447d, p0448d
t0225, p0449u, p0450u, p0449d, p0450d
t0226, p0451u, p0452u, p0451d, p0452d
t0227, p0453u, p0454u, p0453d, p0454d
t0228, p0455u, p0456u, p0455d, p0456d
t0229, p0457u, p0458u, p0457d, p0458d
t0230, p0459u, p0460u, p0459d, p0460d
t0231, p0461u, p0462u, p0461d, p0462d
t0232, p0463u, p0464u, p0463d, p0464d
t0233, p0465u, p0466u, p0465d, p0466d
t0234, p0467u, p0468u, p0467d, p0468d
t0235, p0469u, p0470u, p0469d, p0470d
t0236, p0471u, p0472u, p0471d, p0472d
t0237, p0473u, p0474u, p0473d, p0474d
t0238, p0475u, p0476u, p0475d, p0476d
t0239, p0477u, p0478u, p0477d, p0478d
t0240, p0479u, p0480u, p0479d, p0480d
t0241, p0481u, p0482u, p0481d, p0482d
t0242, p0483u, p0484u, p0483d, p0484d
t0243, p0485u, p0486u, p0485d, p0486d
t0244, p0487u, p0488u, p0487d, p0488d
t0245, p0489u, p0490u, p0489d, p0490d
t0246, p0491u, p0492u, p0491d, p0492d
t0247, p0493u, p0494u, p0493d, p0494d
t0248, p0495u, p0496u, p0495d, p0496d
t0249, p0497u, p0498u, p0497d, p0498d
t0250, p0499u, p0500u, p0499d, p0500d
t0251, p0501u, p0502u, p0501d, p0502d
t0252, p0503u, p0504u, p0503d, p0504d
t0253, p0505u, p0506u, p0505d, p0506d
t0254, p0507u, p0508u, p0507d, p0508d
t0255, p0509u, p0510u, p0509d, p0510d
t0256, p0511u, p0512u, p0511d, p0512d
t0257, p0513u, p0514u, p0513d, p0514d
t0258, p0515u, p0516u, p0515d, p0516d
t0259, p0517u, p0518u, p0517d, p0518d
t0260, p0519u, p0520u, p0519d, p0520d
t0261, p0521u, p0522u, p0521d, p0522d
t0262, p0523u, p0524u, p0523d, p0524d
t0263, p0525u, p0526u, p0525d, p0526d
t0264, p0527u, p0528u, p0527d, p0528d
t0265, p0529u, p0530u, p0529d, p0530d
t0266, p0531u, p0532u, p0531d, p0532d
t0267, p0533u, p0534u, p0533d, p0534d
t0268, p0535u, p0536u, p0535d, p0536d
t0269, p0537u, p0538u, p0537d, p0538d
t0270, p0539u, p0540u, p0539d, p0540d
t0271, p0541u, p0542u, p0541d, p0542d
t0272, p0543u, p0544u, p0543d, p0544d
t0273, p0545u, p0546u, p0545d, p0546d
t0274, p0547u, p0548u, p0547d, p0548d
t0275, p0549u, p0550u, p0549d, p0550d
t0276, p0551u, p0552u, p0551d, p0552d
t0277, p0553u, p0554u, p0553d, p0554d
t0278, p0555u, p0556u, p0555d, p0556d
t0279, p0557u, p0558u, p0557d, p0558d
t0280, p0559u, p0560u, p0559d, p0560d
t0281, p0561u, p0562u, p0561d, p0562d
t0282, p0563u, p0564u, p0563d, p0564d
t0283, p0565u, p0566u, p0565d, p0566d
t0284, p0567u, p0568u, p0567d, p0568d
t0285, p0569u, p0570u, p0569d, p0570d
t0286, p0571u, p0572u, p0571d, p0572d
t0287, p0573u, p0574u, p0573d, p0574d
t0288, p0575u, p0576u, p0575d, p0576d
t0289, p0577u, p0578u, p0577d, p0578d
t0290, p0579u, p0580u, p0579d, p0580d
t0291, p0581u, p0582u, p0581d, p0582d
t0292, p0583u, p0584u, p0583d, p0584d
t0293, p0585u, p0586u, p0585d, p0586d
t0294, p0587u, p0588u, p0587d, p0588d
t0295, p0589u, p0590u, p0589d, p0590d
t0296, p0591u, p0592u, p0591d, p0592d
t0297, p0593u, p0594u, p0593d, p0594d
t0298, p0595u, p0596u, p0595d, p0596d
t0299, p0597u, p0598u, p0597d, p0598d
t0300, p0599u, p0600u, p0599d, p0600d
t0301, p0601u, p0602u, p0601d, p0602d
t0302, p0603u, p0604u, p0603d, p0604d
t0303, p0605u, p0606u, p0605d, p0606d
t0304, p0607u, p0608u, p0607d, p0608d
t0305, p0609u, p0610u, p0609d, p0610d
t0306, p0611u, p0612u, p0611d, p0612d
t0307, p0613u, p0614u, p0613d, p0614d
t0308, p0615u, p0616u, p0615d, p0616d
t0309, p0617u, p0618u, p0617d, p0618d
t0310, p0619u, p0620u, p0619d, p0620d
t0311, p0621u, p0622u, p0621d, p0622d
t0312, p0623u, p0624u, p0623d, p0624d
t0313, p0625u, p0626u, p0625d, p0626d
t0314, p0627u, p0628u, p0627d, p0628d
t0315, p0629u, p0630u, p0629d, p0630d
t0316, p0631u, p0632u, p0631d, p0632d
t0317, p0633u, p0634u, p0633d, p0634d
t0318, p0635u, p0636u, p0635d, p0636d
t0319, p0637u, p0638u, p0637d, p0638d
t0320, p0639u, p0640u, p0639d, p0640d
t0321, p0641u, p0642u, p0641d, p0642d
t0322, p0643u, p0644u, p0643d, p0644d
t0323, p0645u, p0646u, p0645d, p0646d
t0324, p0647u, p0648u, p0647d, p0648d
t0325, p0649u, p0650u, p0649d, p0650d
t0326, p0651u, p0652u, p0651d, p0652d
t0327, p0653u, p0654u, p0653d, p0654d
t0328, p0655u, p0656u, p0655d, p0656d
t0329, p0657u, p0658u, p0657d, p0658d
t0330, p0659u, p0660u, p0659d, p0660d
t0331, p0661u, p0662u, p0661d, p0662d
t0332, p0663u, p0664u, p0663d, p0664d
t0333, p0665u, p0666u, p0665d, p0666d
t0334, p0667u, p0668u, p0667d, p0668d
t0335, p0669u, p0670u, p0669d, p0670d
t0336, p0671u, p0672u, p0671d, p0672d
t0337, p0673u, p0674u, p0673d, p0674d
t0338, p0675u, p0676u, p0675d, p0676d
t0339, p0677u, p0678u, p0677d, p0678d
t0340, p0679u, p0680u, p0679d, p0680d
t0341, p0681u, p0682u, p0681d, p0682d
t0342, p0683u, p0684u, p0683d, p0684d
t0343, p0685u, p0686u, p0685d, p0686d
t0344, p0687u, p0688u, p0687d, p0688d
t0345, p0689u, p0690u, p0689d, p0690d
t0346, p0691u, p0692u, p0691d, p0692d
t0347, p0693u, p0694u, p0693d, p0694d
t0348, p0695u, p0696u, p0695d, p0696d
t0349, p0697u, p0698u, p0697d, p0698d
t0350, p0699u, p0700u, p0699d, p0700d
t0351, p0701u, p0702u, p0701d, p0702d
t0352, p0703u, p0704u, p0703d, p0704d
t0353, p0705u, p0706u, p0705d, p0706d
t0354, p0707u, p0708u, p0707d, p0708d
t0355, p0709u, p0710u, p0709d, p0710d
t0356, p0711u, p0712u, p0711d, p0712d
t0357, p0713u, p0714u, p0713d, p0714d
t0358, p0715u, p0716u, p0715d, p0716d
t0359, p0717u, p0718u, p0717d, p0718d
t0360, p0719u, p0720u, p0719d, p0720d
t0361, p0721u, p0722u, p0721d, p0722d
t0362, p0723u, p0724u, p0723d, p0724d
t0363, p0725u, p0726u, p0725d, p0726d
t0364, p0727u, p0728u, p0727d, p0728d
t0365, p0729u, p0730u, p0729d, p0730d
t0366, p0731u, p0732u, p0731d, p0732d
t0367, p0733u, p0734u, p0733d, p0734d
t0368, p0735u, p0736u, p0735d, p0736d
t0369, p0737u, p0738u, p0737d, p0738d
t0370, p0739u, p0740u, p0739d, p0740d
t0371, p0741u, p0742u, p0741d, p0742d
t0372, p0743u, p0744u, p0743d, p0744d
t0373, p0745u, p0746u, p0745d, p0746d
t0374, p0747u, p0748u, p0747d, p0748d
t0375, p0749u, p0750u, p0749d, p0750d
t0376, p0751u, p0752u, p0751d, p0752d
t0377, p0753u, p0754u, p0753d, p0754d
t0378, p0755u, p0756u, p0755d, p0756d
t0379, p0757u, p0758u, p0757d, p0758d
t0380, p0759u, p0760u, p0759d, p0760d
t0381, p0761u, p0762u, p0761d, p0762d
t0382, p0763u, p0764u, p0763d, p0764d
t0383, p0765u, p0766u, p0765d, p0766d
t0384, p0767u, p0768u, p0767d, p0768d
t0385, p0769u, p0770u, p0769d, p0770d
t0386, p0771u, p0772u, p0771d, p0772d
t0387, p0773u, p0774u, p0773d, p0774d
t0388, p0775u, p0776u, p0775d, p0776d
t0389, p0777u, p0778u, p0777d, p0778d
t0390, p0779u, p0780u, p0779d, p0780d
t0391, p0781u, p0782u, p0781d, p0782d
t0392, p0783u, p0784u, p0783d, p0784d
t0393, p0785u, p0786u, p0785d, p0786d
t0394, p0787u, p0788u, p0787d, p0788d
t0395, p0789u, p0790u, p0789d, p0790d
t0396, p0791u, p0792u, p0791d, p0792d
t0397, p0793u, p0794u, p0793d, p0794d
t0398, p0795u, p0796u, p0795d, p0796d
t0399, p0797u, p0798u, p0797d, p0798d
t0400, p0799u, p0800u, p0799d, p0800d
t0401, p0801u, p0802u, p0801d, p0802d
t0402, p0803u, p0804u, p0803d, p0804d
t0403, p0805u, p0806u, p0805d, p0806d
t0404, p0807u, p0808u, p0807d, p0808d
t0405, p0809u, p0810u, p0809d, p0810d
t0406, p0811u, p0812u, p0811d, p0812d
t0407, p0813u, p0814u, p0813d, p0814d
t0408, p0815u, p0816u, p0815d, p0816d
t0409, p0817u, p0818u, p0817d, p0818d
t0410, p0819u, p0820u, p0819d, p0820d
t0411, p0821u, p0822u, p0821d, p0822d
t0412, p0823u, p0824u, p0823d, p0824d
t0413, p0825u, p0826u, p0825d, p0826d
t0414, p0827u, p0828u, p0827d, p0828d
t0415, p0829u, p0830u, p0829d, p0830d
t0416, p0831u, p0832u, p0831d, p0832d
t0417, p0833u, p0834u, p0833d, p0834d
t0418, p0835u, p0836u, p0835d, p0836d
t0419, p0837u, p0838u, p0837d, p0838d
