taxi_ID,now_x,now_y
t0001,20.8034,25.0000
t0002,22.7184,24.5000
t0003,25.5000,27.3651
t0004,26.0000,32.0301
t0005,24.5000,26.6052
t0006,22.5000,25.6035
t0007,24.0000,27.1049
t0008,23.0000,25.9434
t0009,20.8911,27.0000
t0010,24.5000,28.2570
t0011,24.0000,27.7367
t0012,18.5000,20.6490
t0013,20.0000,23.0644
t0014,24.0000,28.2295
t0015,24.5000,27.1126
t0016,24.0000,27.6569
t0017,19.1272,22.0000
t0018,20.0000,23.7480
t0019,23.8773,27.0000
t0020,22.5000,29.0340
t0021,22.5000,25.2468
t0022,20.5000,25.0458
t0023,22.2331,24.5000
t0024,20.2846,24.5000
t0025,23.5000,30.6549
t0026,20.5000,23.2040
t0027,21.6998,25.5000
t0028,23.3684,26.5000
t0029,26.1043,30.5000
t0030,21.5000,23.1709
t0031,20.5000,25.1106
t0032,19.6925,25.0000
t0033,18.5000,21.1979
t0034,24.6928,27.0000
t0035,21.7044,26.0000
t0036,24.0000,26.3142
t0037,25.0000,27.6505
t0038,24.0000,26.2123
t0039,22.2743,25.5000
t0040,24.2526,27.5000
t0041,23.7086,26.5000
t0042,20.8278,25.0000
t0043,22.5000,25.9109
t0044,21.5000,22.3083
t0045,32.8738,27.5000
t0046,21.0000,22.9481
t0047,25.5000,27.9221
t0048,22.7969,24.5000
t0049,25.0000,31.2393
t0050,24.3709,28.5000
t0051,19.8055,25.0000
t0052,25.0000,28.1090
t0053,23.3104,27.0000
t0054,22.0000,25.8968
t0055,23.0000,24.8623
t0056,22.0000,26.2627
t0057,22.5000,24.8863
t0058,29.6436,24.5000
t0059,19.2699,22.5000
t0060,22.5000,24.1482
t0061,24.0000,26.3031
t0062,23.1532,28.5000
t0063,22.2964,29.0000
t0064,22.5000,25.5482
t0065,18.3185,21.0000
t0066,24.5000,27.2499
t0067,21.3359,24.0000
t0068,24.0000,28.0819
t0069,21.6098,26.0000
t0070,23.1952,30.0000
t0071,21.0000,25.7584
t0072,18.8968,20.5000
t0073,19.5000,23.3521
t0074,23.5000,26.0185
t0075,19.5000,21.6396
t0076,23.1052,25.5000
t0077,23.8887,27.0000
t0078,24.7508,28.5000
t0079,24.5000,27.9453
t0080,24.4220,30.0000
t0081,21.9234,26.5000
t0082,23.0000,26.2589
t0083,22.2964,26.5000
t0084,22.8755,25.5000
t0085,20.2571,24.0000
t0086,21.7952,28.0000
t0087,21.8082,27.0000
t0088,24.2709,24.5000
t0089,20.2502,23.5000
t0090,21.5000,25.6645
t0091,21.8974,27.5000
t0092,21.7067,24.5000
t0093,22.3415,25.0000
t0094,21.7616,26.5000
t0095,21.0000,23.3860
t0096,22.4361,25.5000
t0097,24.6989,28.5000
t0098,24.5784,26.5000
t0099,21.1627,26.0000
t0100,22.8389,25.5000
t0101,20.6355,19.5000
t0102,21.0000,25.6065
t0103,25.0000,28.1002
t0104,20.8049,23.0000
t0105,22.7390,24.5000
t0106,22.2911,27.5000
t0107,20.1602,24.0000
t0108,21.0000,23.6607
t0109,20.0000,21.7957
t0110,22.2812,27.5000
t0111,20.5000,23.7171
t0112,21.5000,26.1066
t0113,20.5000,22.5487
t0114,22.8297,24.5000
t0115,21.5000,25.5322
t0116,22.5000,29.0562
t0117,22.1439,26.0000
t0118,20.9216,24.0000
t0119,25.5000,27.7630
t0120,21.9241,28.5000
t0121,22.0000,28.1601
t0122,24.5000,27.0985
t0123,23.5000,29.2675
t0124,21.9180,26.0000
t0125,23.1059,26.5000
t0126,22.0000,27.2213
t0127,25.5000,27.4666
t0128,24.4762,28.0000
t0129,21.2848,23.5000
t0130,21.7754,25.5000
t0131,18.9174,21.0000
t0132,18.6008,21.5000
t0133,19.0000,20.5578
t0134,33.6772,27.0000
t0135,22.0081,18.5000
t0136,19.0000,21.3188
t0137,25.5000,27.3010
t0138,23.0000,28.9890
t0139,21.6251,26.0000
t0140,21.5000,24.7059
t0141,23.0000,26.2234
t0142,20.2724,25.5000
t0143,24.5000,28.2543
t0144,20.5000,18.6470
t0145,20.8774,25.0000
t0146,21.2428,22.0000
t0147,19.3607,23.0000
t0148,25.0000,27.3983
t0149,24.1443,28.0000
t0150,24.5000,28.5824
t0151,21.2077,25.5000
t0152,24.5000,28.9162
t0153,23.0000,26.3073
t0154,23.2173,29.0000
t0155,21.8867,24.5000
t0156,22.5000,25.1709
t0157,21.0000,19.3695
t0158,20.0000,24.4080
t0159,20.2701,25.0000
t0160,24.0000,30.6957
t0161,19.2302,20.5000
t0162,21.7654,26.5000
t0163,22.5000,29.2740
t0164,19.5000,24.1890
t0165,21.7654,23.5000
t0166,24.7821,27.0000
